Category,Initiative,Benefit,Math,Additional EBITDA %
Revenue,AI ERP Premium Features,Premium AI modules (categorization reconciliation chat) generate high-margin recurring software revenue,15 clients × $30K/year = $450K revenue at 80% margin = $360K ÷ $3.5M base,10.3%
Revenue,ERP Replacement,Replacing legacy GL systems (QB Netsuite) creates new recurring software revenue stream,25 clients (50% penetration) × $10K/year = $250K revenue at 80% margin = $200K ÷ $3.5M base,5.7%
Revenue,Cross-Selling Services,Freed partner time enables upselling tax advisory CFO services and specialized consulting,10% revenue growth ($350K) at 25% margin = $88K EBITDA ÷ $3.5M base,2.5%
Revenue,Larger Projects,Centralized delivery teams and brand reputation unlock larger enterprise engagements,10% revenue growth ($350K) at 25% margin = $88K EBITDA ÷ $3.5M base,2.5%
Cost,Back-Office,Eliminate redundant corporate roles through centralization,Remove office manager ($70K) + IT person ($80K) + admin ($50K) = $200K ÷ $3.5M base,5.7%
Cost,Marketing & Sales,Centralized marketing and software-driven inbound lead generation reduces CAC,Reduce from 3% spend ($105K) to 2% spend ($70K) = $35K savings ÷ $3.5M base,1.0%
Cost,Recruiting & Training,Systematic recruiting and standardized software training reduce hiring costs and turnover,Faster time-to-hire and lower turnover = $30K annual savings ÷ $3.5M base,0.9%
Cost,AI Automation,Software automates bookkeeping data entry reconciliation and document processing,Labor cost ~$1M (30% of revenue) × 25% automation = $250K savings ÷ $3.5M base,7.1%
Operational,Knowledge Transfer,Deploy best practices systematically across all acquired firms,Included in other cost synergies - process improvements enable automation and efficiency,0%
Operational,Working Capital,Systematic billing and collections accelerate cash conversion,40% reduction on $300K WC frees $120K cash (improves returns not EBITDA),0%
Strategic,Free Partner Time,Remove administrative burden to focus partners on high-value client work,Enables revenue synergies above (cross-selling and larger projects) - already counted,0%
Strategic,Redundancy,Reduce key person risk through multiple partners and centralized systems,Strategic benefit that improves valuation multiple but not operating profit,0%
Total,,,Total EBITDA Improvement,37.7%
